Time,l_per,l_abs,b_per,b_abs
1660940439,27.2,2356,14.2,1004
1660941992,27.2,2356,14.2,1004
1660944687,27.2,2356,14.2,1004
1660946123,27.2,2358,14.2,1005
1660949044,27.2,2358,14.2,1005
1660951997,27.2,2358,14.2,1005
1660953651,27.2,2358,14.2,1005
1660954904,27.2,2359,14.2,1007
1660960949,27.2,2359,14.2,1007
1660966155,27.2,2359,14.2,1007
1660967996,27.2,2359,14.2,1007
1660969940,27.2,2359,14.2,1009
1660974489,27.2,2359,14.2,1009
1660976017,27.2,2359,14.2,1009
1660977787,27.2,2359,14.2,1009
1660981181,27.2,2359,14.2,1009
1660987821,27.2,2359,14.3,1010
1661001362,27.2,2359,14.3,1010
1661002564,27.2,2359,14.3,1010
1661005189,27.2,2359,14.3,1010
1661009255,27.2,2359,14.3,1010
1661013339,27.2,2359,14.3,1010
1661032076,27.2,2359,14.3,1010
1661043299,27.2,2359,14.3,1010
1661050209,27.2,2359,14.3,1011
1661055204,27.3,2365,14.3,1013
1661067217,27.3,2365,14.3,1013
1661082275,27.3,2365,14.3,1016
1661083525,27.3,2365,14.3,1016
1661091382,27.3,2365,14.3,1016
1661092154,27.3,2365,14.3,1016
1661092225,27.3,2365,14.3,1016
1661094007,27.3,2365,14.3,1016
1661094643,27.3,2365,14.3,1016
1661096360,27.3,2365,14.3,1016
1661108077,27.3,2365,14.3,1016
1661137786,27.3,2365,14.3,1016
1661137811,27.3,2365,14.3,1016
1661142947,27.3,2365,14.4,1019
1661144899,27.3,2365,14.4,1019
