Time,l_per,l_abs,b_per,b_abs
1660740518,19.8,1567,8.8,576
1660740518,19.8,1567,8.8,576
1660740518,20.0,1583,8.9,581
1660740518,20.0,1583,8.9,581
1660740518,20.0,1583,8.9,581
1660740518,20.1,1595,9.1,594
1660740518,20.1,1595,9.2,597
1660740518,20.1,1595,9.2,597
1660740518,21.5,1705,9.9,649
1660740518,21.5,1705,9.9,649
1660740518,21.5,1705,9.9,649
1660740518,21.5,1705,9.9,649
1660740518,21.5,1705,9.9,649
1660740518,21.5,1705,9.9,649
1660740518,21.5,1705,9.9,649
1660740518,21.5,1705,9.9,649
1660740518,21.5,1705,10.0,655
1660740518,21.5,1705,10.0,655
1660740518,21.5,1705,10.0,655
1660740518,21.5,1705,10.0,655
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,21.8,1733,10.2,668
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1754,10.3,670
1660740518,22.1,1757,10.3,671
1660740518,22.1,1757,10.3,671
1660740518,22.1,1757,10.3,671
1660740518,22.1,1757,10.3,671
1660740518,22.2,1760,10.3,672
1660740518,22.2,1760,10.3,672
1660740518,22.2,1760,10.3,672
1660740518,22.2,1760,10.3,672
1660740518,22.2,1760,10.3,672
1660740518,22.2,1760,10.3,672
1660740518,22.2,1760,10.3,672
1660740518,22.2,1763,10.3,673
1660740518,22.2,1763,10.3,673
1660740518,22.2,1763,10.3,673
1660740518,22.2,1763,10.3,673
1660740518,22.2,1763,10.3,673
1660740518,22.2,1763,10.3,673
1660740518,22.2,1763,10.3,673
1660740518,22.3,1766,10.3,674
1660740518,22.3,1766,10.3,674
1660740518,22.3,1766,10.3,674
1660740518,22.3,1766,10.3,674
1660740518,22.3,1766,10.3,674
1660740518,22.3,1766,10.3,674
1660740518,22.5,1787,10.4,677
1660740518,22.5,1787,10.4,677
1660740518,22.5,1787,10.4,677
1660740518,22.5,1787,10.4,677
1660740518,22.5,1787,10.4,677
1660740518,22.5,1787,10.4,677
1660740518,22.5,1787,10.4,677
1660740518,22.5,1787,10.4,677
1660740518,22.5,1787,10.4,677
