Time,l_per,l_abs,b_per,b_abs
1659125522,23.3,1851,11.1,722
1659125523,24.5,1946,11.8,770
1659125524,24.6,1949,11.8,771
1659125526,24.6,1952,11.9,775
1659125535,24.9,1975,12.0,781
1659125544,24.9,1975,12.0,782
1659125553,24.9,1977,12.0,783
1659125564,25.2,1999,12.1,790
1659125586,25.4,2017,12.2,795
1659125600,25.5,2020,12.2,798
1659125623,25.5,2020,12.2,799
1659125641,25.6,2031,12.3,803
1659125683,25.7,2037,12.4,806
1659125758,25.7,2037,12.4,807
1659125829,25.9,2056,12.5,813
1659125862,26.2,2080,12.6,825
1659125928,26.3,2085,12.7,827
1659126087,26.9,2138,13.1,856
1659126225,27.1,2149,13.2,860
1659126430,27.4,2177,13.6,886
1659126848,27.5,2179,13.6,890
1659127562,27.6,2189,13.7,897
1659127923,27.6,2189,13.8,898
1659128116,27.8,2203,13.9,910
1659128777,27.8,2205,14.0,916
1659130279,27.8,2205,14.1,918
1659132519,27.8,2205,14.1,918
1659133377,28.0,2220,14.1,922
1659139023,28.0,2222,14.2,924
1659141022,28.5,2262,14.9,970
1659142560,28.5,2265,14.9,971
1659146107,28.5,2265,14.9,971
1659147535,28.5,2265,15.0,976
1659149959,28.6,2272,15.2,989
1659156911,28.7,2277,15.4,1003
1659159956,29.4,2332,15.9,1038
1659167041,29.4,2332,15.9,1039
1659168465,29.5,2340,16.1,1053
1659175304,30.2,2397,16.7,1089
1659181758,30.2,2397,16.7,1089
1659185721,30.2,2397,16.8,1095
1659191031,30.3,2401,16.8,1097
1659196708,30.3,2401,16.9,1102
1659198857,30.4,2414,17.0,1106
1659206013,30.5,2420,17.2,1122
1659210367,30.5,2420,17.2,1123
1659210367,30.5,2420,17.2,1123
